mission_id,mission_type,status,site_id,vehicle_plate,requested_at,assigned_robot_id,priority,eta_seconds
M00001,PARK,FAILED_RETRYABLE,SEOUL_TOWER_B,41H3286,2026-05-20T07:30:48+00:00,R012,1,678
M00002,FETCH,COMPLETED,SEOUL_TOWER_B,21G4811,2026-05-20T07:33:18+00:00,R001,1,694
M00003,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,38O5557,2026-05-20T07:36:24+00:00,R012,1,283
M00004,PARK,COMPLETED,SEOUL_TOWER_B,37Y6514,2026-05-20T07:35:52+00:00,R005,1,214
M00005,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,15X8527,2026-05-20T07:37:30+00:00,R006,1,507
M00006,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,83G2139,2026-05-20T07:38:12+00:00,R011,1,353
M00007,PARK,COMPLETED,SEOUL_TOWER_B,58I8428,2026-05-20T07:36:25+00:00,R004,2,286
M00008,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,99V2169,2026-05-20T07:39:28+00:00,R011,1,666
M00009,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,44U4598,2026-05-20T07:39:45+00:00,R008,2,177
M00010,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,44C4456,2026-05-20T07:38:10+00:00,R006,2,337
M00011,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,28I3287,2026-05-20T07:47:25+00:00,R011,1,694
M00012,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,84M6930,2026-05-20T07:58:00+00:00,R010,1,261
M00013,FETCH,COMPLETED,SEOUL_TOWER_B,29U3621,2026-05-20T07:42:08+00:00,R001,3,185
M00014,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,80A2876,2026-05-20T07:58:14+00:00,R008,2,468
M00015,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,10X5315,2026-05-20T07:55:00+00:00,R003,1,639
M00016,PARK,COMPLETED,SEOUL_TOWER_B,29L3646,2026-05-20T08:03:20+00:00,R005,1,451
M00017,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,40B4946,2026-05-20T07:46:43+00:00,R006,1,207
M00018,PARK,COMPLETED,SEOUL_TOWER_B,26V8787,2026-05-20T07:45:54+00:00,R009,1,391
M00019,FETCH,COMPLETED,SEOUL_TOWER_B,79Y4295,2026-05-20T08:08:38+00:00,R007,2,528
M00020,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,76O2982,2026-05-20T08:12:40+00:00,R006,1,350
M00021,FETCH,COMPLETED,SEOUL_TOWER_B,85H1117,2026-05-20T07:46:27+00:00,R010,1,180
M00022,FETCH,COMPLETED,SEOUL_TOWER_B,75H5562,2026-05-20T07:47:58+00:00,R006,3,339
M00023,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,41Z8749,2026-05-20T08:22:31+00:00,R010,3,314
M00024,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,64N8651,2026-05-20T08:21:36+00:00,R007,1,220
M00025,FETCH,COMPLETED,SEOUL_TOWER_B,41G4116,2026-05-20T08:27:30+00:00,R006,3,263
M00026,FETCH,COMPLETED,SEOUL_TOWER_B,19O2604,2026-05-20T08:04:40+00:00,R008,1,673
M00027,PARK,COMPLETED,SEOUL_TOWER_B,62P8886,2026-05-20T07:55:12+00:00,R004,1,530
M00028,PARK,COMPLETED,SEOUL_TOWER_B,59I8454,2026-05-20T08:00:48+00:00,R007,2,553
M00029,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,29G5861,2026-05-20T08:36:42+00:00,R009,1,179
M00030,PARK,FAILED_RETRYABLE,SEOUL_TOWER_B,17B8811,2026-05-20T08:27:00+00:00,R001,1,178
M00031,PARK,COMPLETED,SEOUL_TOWER_B,86C4853,2026-05-20T07:58:25+00:00,R003,3,242
M00032,PARK,COMPLETED,SEOUL_TOWER_B,89C7868,2026-05-20T08:32:24+00:00,R004,2,387
M00033,FETCH,COMPLETED,SEOUL_TOWER_B,43M3144,2026-05-20T08:44:48+00:00,R006,2,588
M00034,FETCH,FAILED_ESCALATED,SEOUL_TOWER_B,89S2638,2026-05-20T08:00:36+00:00,R001,1,670
M00035,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,18H7054,2026-05-20T08:15:30+00:00,R003,2,281
M00036,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,88Z9666,2026-05-20T08:38:24+00:00,R012,1,687
M00037,FETCH,COMPLETED,SEOUL_TOWER_B,43D2753,2026-05-20T08:49:33+00:00,R002,1,398
M00038,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,36V5325,2026-05-20T08:14:58+00:00,R012,3,377
M00039,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,45B1058,2026-05-20T08:03:09+00:00,R002,2,253
M00040,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,80W8007,2026-05-20T08:22:00+00:00,R003,1,234
M00041,FETCH,COMPLETED,SEOUL_TOWER_B,57S3426,2026-05-20T09:00:53+00:00,R003,3,250
M00042,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,36V5088,2026-05-20T08:33:42+00:00,R001,1,482
M00043,PARK,COMPLETED,SEOUL_TOWER_B,40F3900,2026-05-20T08:39:31+00:00,R010,3,145
M00044,FETCH,COMPLETED,SEOUL_TOWER_B,44F2771,2026-05-20T08:33:48+00:00,R007,3,159
M00045,PARK,FAILED_ESCALATED,SEOUL_TOWER_B,54J4728,2026-05-20T08:24:45+00:00,R004,1,144
M00046,PARK,FAILED_RETRYABLE,SEOUL_TOWER_B,18Y5573,2026-05-20T08:43:36+00:00,R006,2,641
M00047,FETCH,COMPLETED,SEOUL_TOWER_B,24I3925,2026-05-20T08:58:31+00:00,R006,2,159
M00048,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,65T9379,2026-05-20T08:50:00+00:00,R006,1,514
M00049,PARK,COMPLETED,SEOUL_TOWER_B,65A9518,2026-05-20T08:26:21+00:00,R005,1,492
M00050,FETCH,FAILED_RETRYABLE,SEOUL_TOWER_B,94D5920,2026-05-20T09:18:20+00:00,R006,2,538
