robot_id,floor,battery_pct,state,last_heartbeat,current_mission_id,health_score
R001,B4,50.6,CHARGING,2026-05-20T07:30:08+00:00,,0.886
R002,B5,72.9,BUSY,2026-05-20T07:30:09+00:00,M00037,0.883
R003,B2,42.6,BUSY,2026-05-20T07:30:06+00:00,M00038,0.894
R004,B5,72.7,RECOVERY,2026-05-20T07:30:12+00:00,,0.929
R005,B4,59.8,CHARGING,2026-05-20T07:30:01+00:00,,0.931
R006,B3,83.3,BUSY,2026-05-20T07:30:00+00:00,,0.987
R007,B6,86.8,IDLE,2026-05-20T07:30:07+00:00,,0.939
R008,B5,58.0,BUSY,2026-05-20T07:30:02+00:00,,0.971
R009,B2,81.1,BUSY,2026-05-20T07:30:02+00:00,M00045,0.819
R010,B3,92.3,IDLE,2026-05-20T07:30:07+00:00,M00009,0.93
R011,B6,66.2,RECOVERY,2026-05-20T07:30:09+00:00,M00047,0.96
R012,B6,54.1,BUSY,2026-05-20T07:30:11+00:00,M00031,0.857
