event_id,ts_utc,site_id,mission_id,robot_id,agent_name,severity,event_type,error_code,payload
E000001,2026-05-20T07:30:49+00:00,SEOUL_TOWER_B,M00001,R012,dispatch_routing,INFO,MISSION_RECEIVED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000002,2026-05-20T07:30:50+00:00,SEOUL_TOWER_B,M00001,R012,fault_recovery,INFO,MISSION_VALIDATED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000003,2026-05-20T07:30:51+00:00,SEOUL_TOWER_B,M00001,R012,customer_comms,INFO,ROBOT_ASSIGNED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000004,2026-05-20T07:30:52+00:00,SEOUL_TOWER_B,M00001,R012,dispatch_routing,INFO,ENROUTE_PICKUP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000005,2026-05-20T07:30:53+00:00,SEOUL_TOWER_B,M00001,R012,fault_recovery,INFO,LIFTING_VEHICLE,,"{""attempt"": 1, ""note"": ""state transition""}"
E000006,2026-05-20T07:30:54+00:00,SEOUL_TOWER_B,M00001,R012,customer_comms,INFO,ENROUTE_DROP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000007,2026-05-20T07:30:55+00:00,SEOUL_TOWER_B,M00001,R012,fault_recovery,WARN,MISSION_EXCEPTION,NAV_BLOCKED,"{""retry_scheduled"": true, ""max_retries"": 3}"
E000008,2026-05-20T07:30:56+00:00,SEOUL_TOWER_B,M00001,R012,ops_reporting,WARN,MISSION_FINALIZED,FINAL_WITH_ISSUE,"{""final_status"": ""FAILED_RETRYABLE""}"
E000009,2026-05-20T07:33:27+00:00,SEOUL_TOWER_B,M00002,R001,fault_recovery,INFO,MISSION_RECEIVED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000010,2026-05-20T07:33:28+00:00,SEOUL_TOWER_B,M00002,R001,dispatch_routing,INFO,MISSION_VALIDATED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000011,2026-05-20T07:33:29+00:00,SEOUL_TOWER_B,M00002,R001,fault_recovery,INFO,ROBOT_ASSIGNED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000012,2026-05-20T07:33:30+00:00,SEOUL_TOWER_B,M00002,R001,fault_recovery,INFO,ENROUTE_PICKUP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000013,2026-05-20T07:33:31+00:00,SEOUL_TOWER_B,M00002,R001,fault_recovery,INFO,LIFTING_VEHICLE,,"{""attempt"": 1, ""note"": ""state transition""}"
E000014,2026-05-20T07:33:32+00:00,SEOUL_TOWER_B,M00002,R001,request_orchestrator,INFO,ENROUTE_DROP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000015,2026-05-20T07:33:33+00:00,SEOUL_TOWER_B,M00002,R001,ops_reporting,INFO,MISSION_FINALIZED,,"{""final_status"": ""COMPLETED""}"
E000016,2026-05-20T07:36:40+00:00,SEOUL_TOWER_B,M00003,R012,dispatch_routing,INFO,MISSION_RECEIVED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000017,2026-05-20T07:36:41+00:00,SEOUL_TOWER_B,M00003,R012,dispatch_routing,INFO,MISSION_VALIDATED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000018,2026-05-20T07:36:42+00:00,SEOUL_TOWER_B,M00003,R012,dispatch_routing,INFO,ROBOT_ASSIGNED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000019,2026-05-20T07:36:43+00:00,SEOUL_TOWER_B,M00003,R012,customer_comms,INFO,ENROUTE_PICKUP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000020,2026-05-20T07:36:44+00:00,SEOUL_TOWER_B,M00003,R012,dispatch_routing,INFO,LIFTING_VEHICLE,,"{""attempt"": 1, ""note"": ""state transition""}"
E000021,2026-05-20T07:36:45+00:00,SEOUL_TOWER_B,M00003,R012,dispatch_routing,INFO,ENROUTE_DROP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000022,2026-05-20T07:36:46+00:00,SEOUL_TOWER_B,M00003,R012,fault_recovery,WARN,MISSION_EXCEPTION,NAV_BLOCKED,"{""retry_scheduled"": false, ""max_retries"": 3}"
E000023,2026-05-20T07:36:47+00:00,SEOUL_TOWER_B,M00003,R012,ops_reporting,WARN,MISSION_FINALIZED,FINAL_WITH_ISSUE,"{""final_status"": ""FAILED_ESCALATED""}"
E000024,2026-05-20T07:36:16+00:00,SEOUL_TOWER_B,M00004,R005,customer_comms,INFO,MISSION_RECEIVED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000025,2026-05-20T07:36:17+00:00,SEOUL_TOWER_B,M00004,R005,customer_comms,INFO,MISSION_VALIDATED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000026,2026-05-20T07:36:18+00:00,SEOUL_TOWER_B,M00004,R005,fault_recovery,INFO,ROBOT_ASSIGNED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000027,2026-05-20T07:36:19+00:00,SEOUL_TOWER_B,M00004,R005,customer_comms,INFO,ENROUTE_PICKUP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000028,2026-05-20T07:36:20+00:00,SEOUL_TOWER_B,M00004,R005,customer_comms,INFO,LIFTING_VEHICLE,,"{""attempt"": 1, ""note"": ""state transition""}"
E000029,2026-05-20T07:36:21+00:00,SEOUL_TOWER_B,M00004,R005,request_orchestrator,INFO,ENROUTE_DROP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000030,2026-05-20T07:36:22+00:00,SEOUL_TOWER_B,M00004,R005,ops_reporting,INFO,MISSION_FINALIZED,,"{""final_status"": ""COMPLETED""}"
E000031,2026-05-20T07:38:01+00:00,SEOUL_TOWER_B,M00005,R006,dispatch_routing,INFO,MISSION_RECEIVED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000032,2026-05-20T07:38:02+00:00,SEOUL_TOWER_B,M00005,R006,customer_comms,INFO,MISSION_VALIDATED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000033,2026-05-20T07:38:03+00:00,SEOUL_TOWER_B,M00005,R006,customer_comms,INFO,ROBOT_ASSIGNED,,"{""attempt"": 1, ""note"": ""state transition""}"
E000034,2026-05-20T07:38:04+00:00,SEOUL_TOWER_B,M00005,R006,request_orchestrator,INFO,ENROUTE_PICKUP,,"{""attempt"": 1, ""note"": ""state transition""}"
E000035,2026-05-20T07:38:05+00:00,SEOUL_TOWER_B,M00005,R006,customer_comms,INFO,LIFTING_VEHICLE,,"{""attempt"": 1, ""note"": ""state transition""}"
E000036,2026-05-20T07:38:06+00:00,SEOUL_TOWER_B,M00005,R006,customer_comms,INFO,ENROUTE_DROP,,"{""attempt"": 1, ""note"": ""state transition""}"
